epoch,loss,train_accuracy
1,2.7175596863396274,0.0175
2,2.01100107592903,0.0177
3,1.5876788782124058,0.0227
4,1.350021038833133,0.0279
5,1.2124721776003153,0.0369
6,1.1177304763927731,0.0516
7,1.0461977390199138,0.0751
8,0.9886463583256669,0.1191
9,0.9410550416083381,0.1736
10,0.9002411311921689,0.2279
11,0.8633624176225579,0.2913
12,0.8269885916940306,0.3712
13,0.7912194950660033,0.4471
14,0.7582025850946135,0.4958
15,0.7280557058073895,0.5378
16,0.7003052424495886,0.5781
17,0.6744635683164625,0.6249
18,0.6501735543791483,0.686
19,0.6271886559843237,0.7328
20,0.6053435069212069,0.7661
21,0.5844880195447522,0.7866
22,0.5645320135428826,0.8008
23,0.5454120583279961,0.8186
24,0.5270674239386063,0.8344
25,0.5094611098373356,0.848
26,0.4925590218987216,0.863
27,0.47632436699834524,0.8784
28,0.4607447397394011,0.8924
29,0.4457952441614226,0.9047
30,0.431449469521937,0.9188
31,0.41768063736448374,0.927
32,0.4044685525875318,0.9374
33,0.39179445088143994,0.9471
34,0.3796331528796935,0.9562
35,0.3679655928281334,0.9641
36,0.3567671834676098,0.9701
37,0.3460217977352147,0.9753
38,0.33571305537904383,0.979
39,0.32582519880044214,0.982
40,0.31634418806380815,0.9823
41,0.30725467226366393,0.9825
42,0.29854053981235984,0.9825
43,0.2901865652520386,0.9825
44,0.2821802209022907,0.9825
45,0.2745079957545333,0.9825
46,0.2671583940354112,0.9825
47,0.26011923724150493,0.9825
48,0.25337778734883604,0.9825
49,0.24692240335199958,0.9825
50,0.24074068232233048,0.9825
51,0.23482157656238534,0.9825
52,0.22915553212162912,0.9825
53,0.22373060903031078,0.9825
54,0.21853699509638655,0.9825
55,0.2135655919446167,0.9825
56,0.20880757435498504,0.9825
57,0.2042536958843226,0.9825
58,0.19989487668505418,0.9825
59,0.19572297982453307,0.9825
60,0.1917299518024443,0.9825
61,0.18790743418030983,0.9825
62,0.18424734924222322,0.9825
63,0.18074322428653175,0.9825
64,0.1773876051715232,0.9825
65,0.174173282690684,0.9825
66,0.1710939614578851,0.9825
67,0.16814337222454212,0.9825
68,0.16531579298601137,0.9825
69,0.1626049461944203,0.9825
70,0.16000590679797552,0.9825
71,0.1575132590605907,0.9825
72,0.15512175628818692,0.9825
73,0.15282688232835898,0.9825
74,0.15062430288043,0.9825
75,0.14850959106190148,0.9825
76,0.14647877828186587,0.9825
77,0.1445277308982613,0.9825
78,0.14265319980424354,0.9825
79,0.14085144133845562,0.9825
80,0.139119009328852,0.9825
81,0.13745329269712378,0.9825
82,0.13585147330402192,0.9825
83,0.13431054872983453,0.9825
84,0.13282770617734202,0.9825
85,0.13140047694842108,0.9825
86,0.13002634649438838,0.9825
87,0.1287028310841918,0.9825
88,0.1274275422012787,0.9825
89,0.12619848208222495,0.9825
90,0.12501353807972804,0.9825
91,0.12387068822170759,0.9825
92,0.12276811045213822,0.9825
93,0.12170407983027579,0.9825
94,0.12067695988092147,0.9825
95,0.11968520295061146,0.9825
96,0.11872710418275403,0.9825
97,0.11780125591917262,0.9825
98,0.11690626208631968,0.9825
99,0.1160408395030273,0.9825
100,0.11520363807935473,0.9825
